Date,Time,value
29-Mar-16,16:00:00,1.28
30-Mar-16,08:00:00,1.28
30-Mar-16,16:00:00,1.27
31-Mar-16,08:00:00,1.27
31-Mar-16,16:00:00,1.27
01-Apr-16,08:00:00,1.3
01-Apr-16,16:00:00,1.33
02-Apr-16,08:00:00,1.34
02-Apr-16,16:00:00,1.34
03-Apr-16,08:00:00,1.35
03-Apr-16,16:00:00,1.36
04-Apr-16,08:00:00,1.36
04-Apr-16,16:00:00,1.37
05-Apr-16,08:00:00,1.37
05-Apr-16,16:00:00,1.37
06-Apr-16,08:00:00,1.37
06-Apr-16,16:00:00,1.37
07-Apr-16,08:00:00,1.36
07-Apr-16,16:00:00,1.36
08-Apr-16,08:00:00,1.36
08-Apr-16,16:00:00,1.36
09-Apr-16,08:00:00,1.36
09-Apr-16,16:00:00,1.36
10-Apr-16,08:00:00,1.36
10-Apr-16,16:00:00,1.35
11-Apr-16,08:00:00,1.36
11-Apr-16,16:00:00,1.36
12-Apr-16,08:00:00,1.34
12-Apr-16,16:00:00,1.33
13-Apr-16,08:00:00,1.33
13-Apr-16,16:00:00,1.33
14-Apr-16,08:00:00,1.33
14-Apr-16,16:00:00,1.32
15-Apr-16,08:00:00,1.33
15-Apr-16,16:00:00,1.35
16-Apr-16,08:00:00,1.37
16-Apr-16,16:00:00,1.38
17-Apr-16,08:00:00,1.39
17-Apr-16,16:00:00,1.42
18-Apr-16,08:00:00,1.45
18-Apr-16,16:00:00,1.46
19-Apr-16,08:00:00,1.47
19-Apr-16,16:00:00,1.49
20-Apr-16,08:00:00,1.5
20-Apr-16,16:00:00,1.5
21-Apr-16,08:00:00,1.52
21-Apr-16,16:00:00,1.54
22-Apr-16,08:00:00,1.55
22-Apr-16,16:00:00,1.55
23-Apr-16,08:00:00,1.57
23-Apr-16,16:00:00,1.57
24-Apr-16,08:00:00,1.55
24-Apr-16,16:00:00,1.52
25-Apr-16,08:00:00,1.49
25-Apr-16,16:00:00,1.48
26-Apr-16,08:00:00,1.48
26-Apr-16,16:00:00,1.49
27-Apr-16,08:00:00,1.47
27-Apr-16,16:00:00,1.46
28-Apr-16,08:00:00,1.44
28-Apr-16,16:00:00,1.43
29-Apr-16,08:00:00,1.43
29-Apr-16,16:00:00,1.45
30-Apr-16,08:00:00,1.46
30-Apr-16,16:00:00,1.46
01-May-16,08:00:00,1.47
01-May-16,16:00:00,1.46
02-May-16,08:00:00,1.45
02-May-16,16:00:00,1.45
03-May-16,08:00:00,1.44
03-May-16,16:00:00,1.44
04-May-16,08:00:00,1.43
04-May-16,16:00:00,1.43
05-May-16,08:00:00,1.41
05-May-16,16:00:00,1.39
06-May-16,08:00:00,1.39
06-May-16,16:00:00,1.38
07-May-16,08:00:00,1.38
07-May-16,16:00:00,1.38
08-May-16,08:00:00,1.38
08-May-16,16:00:00,1.38
09-May-16,08:00:00,1.37
09-May-16,16:00:00,1.37
10-May-16,08:00:00,1.37
10-May-16,16:00:00,1.37
11-May-16,08:00:00,1.38
11-May-16,16:00:00,1.39
12-May-16,08:00:00,1.39
12-May-16,16:00:00,1.4
13-May-16,08:00:00,1.41
13-May-16,16:00:00,1.41
14-May-16,08:00:00,1.41
14-May-16,16:00:00,1.42
15-May-16,08:00:00,1.42
15-May-16,16:00:00,1.42
16-May-16,08:00:00,1.41
16-May-16,16:00:00,1.4
17-May-16,08:00:00,1.4
17-May-16,16:00:00,1.39
18-May-16,08:00:00,1.39
18-May-16,16:00:00,1.38
19-May-16,08:00:00,1.38
19-May-16,16:00:00,1.37
20-May-16,08:00:00,1.37
20-May-16,16:00:00,1.37
21-May-16,08:00:00,1.36
21-May-16,16:00:00,1.36
22-May-16,08:00:00,1.35
22-May-16,16:00:00,1.35
23-May-16,08:00:00,1.35
23-May-16,16:00:00,1.35
24-May-16,08:00:00,1.35
24-May-16,16:00:00,1.36
25-May-16,08:00:00,1.36
25-May-16,16:00:00,1.36
26-May-16,08:00:00,1.37
26-May-16,16:00:00,1.37
27-May-16,08:00:00,1.39
27-May-16,16:00:00,1.38
28-May-16,08:00:00,1.37
28-May-16,16:00:00,1.37
29-May-16,08:00:00,1.36
29-May-16,16:00:00,1.36
30-May-16,08:00:00,1.36
30-May-16,16:00:00,1.35
31-May-16,08:00:00,1.35
31-May-16,16:00:00,1.34
01-Jun-16,08:00:00,1.35
01-Jun-16,16:00:00,1.35
02-Jun-16,08:00:00,1.34
02-Jun-16,16:00:00,1.34
03-Jun-16,08:00:00,1.34
03-Jun-16,16:00:00,1.34
04-Jun-16,08:00:00,1.33
04-Jun-16,16:00:00,1.33
05-Jun-16,08:00:00,1.33
05-Jun-16,16:00:00,1.33
06-Jun-16,08:00:00,1.33
06-Jun-16,16:00:00,1.33
07-Jun-16,08:00:00,1.32
07-Jun-16,16:00:00,1.32
08-Jun-16,08:00:00,1.32
08-Jun-16,16:00:00,1.32
09-Jun-16,08:00:00,1.32
09-Jun-16,16:00:00,1.32
10-Jun-16,08:00:00,1.31
10-Jun-16,16:00:00,1.31
11-Jun-16,08:00:00,1.31
11-Jun-16,16:00:00,1.31
12-Jun-16,08:00:00,1.32
12-Jun-16,16:00:00,1.32
13-Jun-16,08:00:00,1.32
13-Jun-16,16:00:00,1.32
14-Jun-16,08:00:00,1.32
14-Jun-16,16:00:00,1.31
15-Jun-16,08:00:00,1.31
15-Jun-16,16:00:00,1.31
16-Jun-16,08:00:00,1.31
16-Jun-16,16:00:00,1.31
17-Jun-16,08:00:00,1.3
17-Jun-16,16:00:00,1.3
18-Jun-16,08:00:00,1.3
18-Jun-16,16:00:00,1.3
19-Jun-16,08:00:00,1.3
19-Jun-16,16:00:00,1.3
20-Jun-16,08:00:00,1.29
20-Jun-16,16:00:00,1.29
21-Jun-16,08:00:00,1.29
21-Jun-16,16:00:00,1.29
22-Jun-16,08:00:00,1.29
22-Jun-16,16:00:00,1.29
23-Jun-16,08:00:00,1.29
23-Jun-16,16:00:00,1.28
24-Jun-16,08:00:00,1.28
24-Jun-16,16:00:00,1.28
25-Jun-16,08:00:00,1.28
25-Jun-16,16:00:00,1.28
26-Jun-16,08:00:00,1.27
26-Jun-16,16:00:00,1.27
27-Jun-16,08:00:00,1.27
27-Jun-16,16:00:00,1.27
28-Jun-16,08:00:00,1.27
28-Jun-16,16:00:00,1.27
29-Jun-16,08:00:00,1.27
29-Jun-16,16:00:00,1.27
30-Jun-16,08:00:00,1.27
30-Jun-16,16:00:00,1.27
01-Jul-16,08:00:00,1.27
01-Jul-16,16:00:00,1.27
02-Jul-16,08:00:00,1.27
02-Jul-16,16:00:00,1.27
03-Jul-16,08:00:00,1.27
03-Jul-16,16:00:00,1.27
04-Jul-16,08:00:00,1.27
04-Jul-16,16:00:00,1.27
05-Jul-16,08:00:00,1.27
05-Jul-16,16:00:00,1.27
06-Jul-16,08:00:00,1.26
06-Jul-16,16:00:00,1.26
07-Jul-16,08:00:00,1.26
07-Jul-16,16:00:00,1.26
08-Jul-16,08:00:00,1.26
08-Jul-16,16:00:00,1.26
09-Jul-16,08:00:00,1.26
09-Jul-16,16:00:00,1.26
10-Jul-16,08:00:00,1.26
10-Jul-16,16:00:00,1.26
11-Jul-16,08:00:00,1.26
11-Jul-16,16:00:00,1.26
12-Jul-16,08:00:00,1.27
12-Jul-16,16:00:00,1.27
13-Jul-16,08:00:00,1.26
13-Jul-16,16:00:00,1.26
14-Jul-16,08:00:00,1.26
14-Jul-16,16:00:00,1.26
15-Jul-16,08:00:00,1.26
15-Jul-16,16:00:00,1.26
16-Jul-16,08:00:00,1.26
16-Jul-16,16:00:00,1.26
17-Jul-16,08:00:00,1.26
17-Jul-16,16:00:00,1.26
18-Jul-16,08:00:00,1.26
18-Jul-16,16:00:00,1.26
19-Jul-16,08:00:00,1.25
19-Jul-16,16:00:00,1.25
20-Jul-16,08:00:00,1.25
20-Jul-16,16:00:00,1.25
21-Jul-16,08:00:00,1.25
21-Jul-16,16:00:00,1.25
22-Jul-16,08:00:00,1.25
22-Jul-16,16:00:00,1.25
23-Jul-16,08:00:00,1.25
23-Jul-16,16:00:00,1.24
24-Jul-16,08:00:00,1.24
24-Jul-16,16:00:00,1.24
25-Jul-16,08:00:00,1.25
25-Jul-16,16:00:00,1.25
26-Jul-16,08:00:00,1.25
26-Jul-16,16:00:00,1.25
27-Jul-16,08:00:00,1.26
27-Jul-16,16:00:00,1.26
28-Jul-16,08:00:00,1.26
28-Jul-16,16:00:00,1.26
29-Jul-16,08:00:00,1.26
29-Jul-16,16:00:00,1.26
30-Jul-16,08:00:00,1.26
30-Jul-16,16:00:00,1.27
31-Jul-16,08:00:00,1.27
31-Jul-16,16:00:00,1.27
01-Aug-16,08:00:00,1.27
01-Aug-16,16:00:00,1.27
02-Aug-16,08:00:00,1.28
02-Aug-16,16:00:00,1.28
03-Aug-16,08:00:00,1.27
03-Aug-16,16:00:00,1.27
04-Aug-16,08:00:00,1.27
04-Aug-16,16:00:00,1.27
05-Aug-16,08:00:00,1.28
05-Aug-16,16:00:00,1.28
06-Aug-16,08:00:00,1.29
06-Aug-16,16:00:00,1.29
07-Aug-16,08:00:00,1.29
07-Aug-16,16:00:00,1.28
08-Aug-16,08:00:00,1.28
08-Aug-16,16:00:00,1.28
09-Aug-16,08:00:00,1.28
09-Aug-16,16:00:00,1.28
10-Aug-16,08:00:00,1.27
10-Aug-16,16:00:00,1.27
11-Aug-16,08:00:00,1.27
11-Aug-16,16:00:00,1.27
12-Aug-16,08:00:00,1.28
12-Aug-16,16:00:00,1.27
13-Aug-16,08:00:00,1.28
13-Aug-16,16:00:00,1.28
14-Aug-16,08:00:00,1.28
14-Aug-16,16:00:00,1.28
15-Aug-16,08:00:00,1.28
15-Aug-16,16:00:00,1.28
16-Aug-16,08:00:00,1.27
